scanned_at_utc,event,ticker,side,price_cents,model_prob,ev_cents,outcome,clv_cents
2026-08-11T04:15:25+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
2026-08-11T04:15:25+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111845CHCWSH-12,no,71,0.793,6.9,loss (-71c),-70
2026-08-11T05:34:23+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111940BALMIN-12,no,69,0.776,7.1,win (+31c),+30
2026-08-11T05:34:23+00:00,KXMLBTOTAL-26AUG111940BALMIN,KXMLBTOTAL-26AUG111945PHISTL-11,no,70,0.781,6.6,win (+30c),+29
2026-08-11T06:57:21+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T06:57:21+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T08:09:54+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T08:09:54+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T09:29:19+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T09:29:19+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T10:26:59+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T10:26:59+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
2026-08-11T11:14:11+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112138TEXLAA-8,yes,64,0.731,7.5,loss (-64c),-63
2026-08-11T11:14:11+00:00,KXMLBTOTAL-26AUG112138TEXLAA,KXMLBTOTAL-26AUG112210KCLAD-11,no,70,0.787,7.2,win (+30c),+29
